X,Y
10,0.60653066
20,0.09196986
30,0.02479224
40,0.008458455
50,0.0032834
60,0.001382974
70,0.000616273
80,0.000286182
90,0.000137148
100,6.74E-05
110,3.38E-05
120,1.72E-05
130,8.90E-06
140,4.65E-06
150,2.46E-06
160,1.31E-06
170,7.04E-07
180,3.81E-07
190,2.07E-07
200,1.13E-07
210,6.24E-08
220,3.45E-08
230,1.91E-08
240,1.07E-08
250,5.96E-09
260,3.34E-09
270,1.88E-09
280,1.06E-09
290,6.00E-10
300,3.40E-10
310,1.93E-10
320,1.10E-10
330,6.27E-11
340,3.58E-11
350,2.05E-11
360,1.18E-11
370,6.75E-12
380,3.88E-12
390,2.23E-12
400,1.29E-12
410,7.44E-13
420,4.30E-13
430,2.49E-13
440,1.44E-13
450,8.36E-14
460,4.85E-14
470,2.82E-14
480,1.64E-14
490,9.54E-15
500,5.56E-15
510,3.24E-15
520,1.89E-15
530,1.10E-15
540,6.45E-16
550,3.77E-16
560,2.20E-16
570,1.29E-16
580,7.56E-17
590,4.43E-17
600,2.60E-17
610,1.53E-17
620,8.96E-18
630,5.26E-18
640,3.09E-18
650,1.82E-18
660,1.07E-18
670,6.29E-19
680,3.71E-19
690,2.18E-19
700,1.29E-19
710,7.59E-20
720,4.47E-20
730,2.64E-20
740,1.56E-20
750,9.20E-21
760,5.43E-21
770,3.21E-21
780,1.90E-21
790,1.12E-21
800,6.64E-22
810,3.93E-22
820,2.32E-22
830,1.38E-22
840,8.15E-23
850,4.83E-23
860,2.86E-23
870,1.69E-23
880,1.00E-23
890,5.96E-24
900,3.53E-24
910,2.10E-24
920,1.24E-24
930,7.38E-25
940,4.38E-25
950,2.60E-25
960,1.55E-25
970,9.19E-26
980,5.46E-26
990,3.24E-26
1000,1.93E-26
308.5971944,2.63E-04
311.5831663,2.58E-04
314.5691383,2.53E-04
317.5551102,2.48E-04
320.5410822,2.43E-04
323.5270541,2.39E-04
326.5130261,2.34E-04
329.498998,2.30E-04
332.4849699,2.26E-04
335.4709419,2.22E-04
338.4569138,2.18E-04
341.4428858,2.14E-04
344.4288577,2.11E-04
347.4148297,2.07E-04
350.4008016,2.04E-04
353.3867735,2.00E-04
356.3727455,1.97E-04
359.3587174,1.94E-04
362.3446894,1.90E-04
365.3306613,1.87E-04
368.3166333,1.84E-04
371.3026052,1.81E-04
374.2885772,1.78E-04
377.2745491,1.76E-04
380.260521,1.73E-04
383.246493,1.70E-04
386.2324649,1.68E-04
389.2184369,1.65E-04
392.2044088,1.63E-04
395.1903808,1.60E-04
398.1763527,1.58E-04
401.1623246,1.55E-04
404.1482966,1.53E-04
407.1342685,1.51E-04
410.1202405,1.49E-04
413.1062124,1.46E-04
416.0921844,1.44E-04
419.0781563,1.42E-04
422.0641283,1.40E-04
425.0501002,1.38E-04
428.0360721,1.36E-04
431.0220441,1.35E-04
434.008016,1.33E-04
436.993988,1.31E-04
439.9799599,1.29E-04
442.9659319,1.27E-04
445.9519038,1.26E-04
448.9378758,1.24E-04
451.9238477,1.22E-04
454.9098196,1.21E-04
457.8957916,1.19E-04
460.8817635,1.18E-04
463.8677355,1.16E-04
466.8537074,1.15E-04
469.8396794,1.13E-04
472.8256513,1.12E-04
475.8116232,1.10E-04
478.7975952,1.09E-04
481.7835671,1.08E-04
484.7695391,1.06E-04
487.755511,1.05E-04
490.741483,1.04E-04
493.7274549,1.03E-04
496.7134269,1.01E-04
499.6993988,1.00E-04
502.6853707,9.89E-05
505.6713427,9.78E-05
508.6573146,9.66E-05
511.6432866,9.55E-05
514.6292585,9.44E-05
517.6152305,9.33E-05
520.6012024,9.22E-05
523.5871743,9.12E-05
526.5731463,9.02E-05
529.5591182,8.91E-05
532.5450902,8.82E-05
535.5310621,8.72E-05
538.5170341,8.62E-05
541.503006,8.53E-05
544.488978,8.43E-05
547.4749499,8.34E-05
550.4609218,8.25E-05
553.4468938,8.16E-05
556.4328657,8.07E-05
559.4188377,7.99E-05
562.4048096,7.90E-05
565.3907816,7.82E-05
568.3767535,7.74E-05
571.3627255,7.66E-05
574.3486974,7.58E-05
577.3346693,7.50E-05
580.3206413,7.42E-05
583.3066132,7.35E-05
586.2925852,7.27E-05
589.2785571,7.20E-05
592.2645291,7.13E-05
595.250501,7.06E-05
598.2364729,6.99E-05
601.2224449,6.92E-05
604.2084168,6.85E-05
607.1943888,6.78E-05
610.1803607,6.71E-05
613.1663327,6.65E-05
616.1523046,6.59E-05
619.1382766,6.52E-05
622.1242485,6.46E-05
625.1102204,6.40E-05
628.0961924,6.34E-05
631.0821643,6.28E-05
634.0681363,6.22E-05
637.0541082,6.16E-05
640.0400802,6.10E-05
643.0260521,6.05E-05
646.012024,5.99E-05
648.997996,5.94E-05
651.9839679,5.88E-05
654.9699399,5.83E-05
657.9559118,5.77E-05
660.9418838,5.72E-05
663.9278557,5.67E-05
666.9138277,5.62E-05
669.8997996,5.57E-05
672.8857715,5.52E-05
675.8717435,5.47E-05
678.8577154,5.42E-05
681.8436874,5.38E-05
684.8296593,5.33E-05
687.8156313,5.28E-05
690.8016032,5.24E-05
693.7875752,5.19E-05
696.7735471,5.15E-05
699.759519,5.11E-05
702.745491,5.06E-05
705.7314629,5.02E-05
